R,T,Mean
1,1,0.61353219024985239382630197724211029708385467529297
1,2,0.41015451450705048275224839926522690802812576293945
1,3,0.27932925004152486803121746561373583972454071044922
1,4,0.19110067295509172713430245948984520509839057922363
1,5,0.13103006420497884110254460665601072832942008972168
1,6,0.08968700665827882001490678476329776458442211151123
1,7,0.061346274950732443409506799980590585619211196899414
1,8,0.041888930081892539192267577163875102996826171875
1,9,0.028737673006968812716710459653768339194357395172119
1,10,0.019521093024756994843693647112559119705110788345337
1,11,0.013192324107309298664159058489531162194907665252686
1,12,0.0089728521521995410759053868332557613030076026916504
2,1,0.40993795300790614177799398021306842565536499023438
2,2,0.21690377896970208793092638188682030886411666870117
2,3,0.12337498716962780331840576764079742133617401123047
2,4,0.071540534231405897291899975698470370844006538391113
2,5,0.041781228000677420042485721296543488278985023498535
2,6,0.024316576759189360151802716814017912838608026504517
2,7,0.014212711326641602055387281211551453452557325363159
2,8,0.0086402622369017544057268054302767268382012844085693
2,9,0.0053689705310391395640112754961137397913262248039246
2,10,0.0031384238873249869182513460685868267319165170192719
2,11,0.001842757521203191705544410794459508906584233045578
2,12,0.0010605194316200903647401387885906842711847275495529
3,1,0.27930783641369366643303351338545326143503189086914
3,2,0.12335688681412272649229322496466920711100101470947
3,3,0.062318622137189007281765640300363884307444095611572
3,4,0.032875017507678502837187295426701894029974937438965
3,5,0.017653682124395865538080130363596254028379917144775
3,6,0.0091779906601268512050806336333153012674301862716675
3,7,0.0051996179488630125953285698869876796379685401916504
3,8,0.0027187035173666931550662262395690049743279814720154
3,9,0.0014452824508465449832028681953488558065146207809448
3,10,0.0010194875311006926319606913367010747606400400400162
3,11,0.00035174333285317266025241100813047978590475395321846
3,12,0.00048103578820358149602254282939384211204014718532562
4,1,0.19096057880420952423961011845676694065332412719727
4,2,0.071217687359402509494898936281970236450433731079102
4,3,0.032958838839931163533503166718219290487468242645264
4,4,0.01616268305370747310201196000889467541128396987915
4,5,0.0082927201861019931433682828014752885792404413223267
4,6,0.0044327917544273445424329871400459524011239409446716
4,7,0.0022666410391105600713457235428904823493212461471558
4,8,0.0012482222950416456321715008570549798605497926473618
4,9,0.00074689323319442209835050672239731284207664430141449
4,10,0.00039406647603943919556945818527537994668819010257721
4,11,0.00020417951007695519941367856553426918253535404801369
4,12,0.00015040826494730363967720909723624345133430324494839
5,1,0.13082610094315316739965737724560312926769256591797
5,2,0.041623027396974009162189389599006972275674343109131
5,3,0.017689303151466693325710721751420351210981607437134
5,4,0.0083618146491251932328481188960722647607326507568359
5,5,0.0039180877825645884365846072228123375680297613143921
5,6,0.001865963337883755476451219657008095964556559920311
5,7,0.0012507665845431818144734004150109285546932369470596
5,8,0.00051265297809698919494214575109936049557290971279144
5,9,0.00033285389649838912143331448589833598816767334938049
5,10,4.3890350843454340454882073307985024257504846900702e-05
5,11,-0.00010745012403333935443669466813787494174903258681297
5,12,1.4701080617986318242805358902369761153750005178154e-05
6,1,0.08977874832724015707885456549774971790611743927002
6,2,0.024446999826663214083755093497529742307960987091064
6,3,0.0096578935337189274201730171398594393394887447357178
6,4,0.0043505307719020067450110822449005354428663849830627
6,5,0.0020500906455903473123159042046381728141568601131439
6,6,0.00077457942332776917246373038494766660733148455619812
6,7,0.00051026680604083672013887573726265145523939281702042
6,8,0.00028373213796406131790087123967225579690421000123024
6,9,0.00018914014951036659298831688058584177269949577748775
6,10,0.00017434873716126394766617879739101226732600480318069
6,11,0.00013697899336925252597105262530874369986122474074364
6,12,0.00012266905307964243447733931891008296588552184402943
7,1,0.061675700494685681274376065630349330604076385498047
7,2,0.014250672220302192105823024803612497635185718536377
7,3,0.0050050716474797233082605352194605075055733323097229
7,4,0.0020249843123913502732080793578006705502048134803772
7,5,0.0010841346981397786790324300199017670820467174053192
7,6,0.00017871512963106071336487346012944499307195656001568
7,7,1.8880752713726359150354927596282550439354963600636e-05
7,8,9.9414507247115222431099734734516459866426885128021e-05
7,9,0.00022550408501551927028042077161273937235819175839424
7,10,-0.00010445953352025919166033707252694284761673770844936
7,11,5.0442095113635347332966402111864567814336623996496e-05
7,12,-7.6343278101461453156485748028359239469864405691624e-05
8,1,0.042333481407679875163641014523818739689886569976807
8,2,0.0086727061213810411471891725909699744079262018203735
8,3,0.0026721914090418615560229564920291522867046296596527
8,4,0.0010247512038898424699406852766969677759334444999695
8,5,0.00063652467455802431289813014814171765465289354324341
8,6,7.6656593914212005878849875983860329142771661281586e-05
8,7,-2.4705676180604308075049180271065552005893550813198e-05
8,8,-0.00011924912194031752656064870876662098453380167484283
8,9,0.00031003271414860940520530352415562447276897728443146
8,10,-0.0002400603175271802511205748720257702188973780721426
8,11,6.0374156181214603167275306594419248540361877530813e-05
8,12,-0.00028136372803540444674161302707204868056578561663628
9,1,0.029009689990550372590272232287134102080017328262329
9,2,0.0052235061270675528163898171385426394408568739891052
9,3,0.0013447028283749319372414321449582530476618558168411
9,4,0.00054331031057709548194589732617032495909370481967926
9,5,0.00038290341517751495629962033007132049533538520336151
9,6,-2.0553925508324483542067773189643276054994203150272e-05
9,7,3.3881835630808814429585501537545155770203564316034e-05
9,8,0.00010220905977165420266787598801982994700665585696697
9,9,-7.6384202794684547660995777018655417123227380216122e-05
9,10,0.00019139394307305702697813432067164285399485379457474
9,11,-1.5459514362020392497145543364567288335820194333792e-05
9,12,-0.00032898100721967098733836132318231193494284525513649
10,1,0.020032132678685237586746481497357308398932218551636
10,2,0.002929059801633172085283396413046830275561660528183
10,3,0.00078800543512309395664111599799639407137874513864517
10,4,0.00011248853242980395145383248900472494824498426169157
10,5,0.00037881938394969470306622438826593679550569504499435
10,6,-6.7309543939303187964039165702700984184048138558865e-05
10,7,0.00025877922668100398822729757419836005283286795020103
10,8,0.00020399790906851949547073932222929215640760958194733
10,9,4.7228268649004290094875480043867810309166088700294e-05
10,10,0.00025234554256482001404968129598671566782286390662193
10,11,1.0316226725654005860494805135729734502092469483614e-05
10,12,0.00016268619267396369158090729811760866141412407159805
11,1,0.013769312016283332886223966795569140231236815452576
11,2,0.0016361763854318448971336685815458622528240084648132
11,3,0.00042383980728759378065959029235898469778476282954216
11,4,0.00018075453130871694997633403190206990984734147787094
11,5,5.0717947125421198098765146466959663484885822981596e-05
11,6,-2.6822454366676605795128188192144591539545217528939e-05
11,7,1.2201342434395032399618505336569285191217204555869e-05
11,8,-0.00023261161860644867147539238683151552322669886052608
11,9,0.00012267192429009636956555029385640409600455313920975
11,10,0.00022472290270514902812970525758373696589842438697815
11,11,0.00024190831031969240285176003801836941420333459973335
11,12,-0.00022998894069329911581459069402910699864150956273079
12,1,0.0094291100025609125151460077063347853254526853561401
12,2,0.00081069699632795467342250006481663149315863847732544
12,3,0.00015901109039252920868828811151729496486950665712357
12,4,-0.00010091411409698598561270749263130142026057001203299
12,5,-0.00030000558527916047551684086691636821342399343848228
12,6,-0.0003897950153068711854828509721926366182742640376091
12,7,6.6170514166687103185977847363830051108379848301411e-05
12,8,0.00013266596342543948792297436867215765232685953378677
12,9,0.00016146544502365772224238005261298667392111383378506
12,10,5.3647982745250408242489170707045786912203766405582e-05
12,11,0.00035591325899799277666935015673743691877461969852448
12,12,0.00020765679925176125592348186366109530354151502251625
